X,Y,LINE,NAME,DISTRICT,SECTOR,STATION_ID,NOTE
999197,211713,"E,M","Court Square / 23 Street","20","",274,"E-all times, M-weekdays and evenings"
1012195,179353,"L","New Lots Avenue","33","",136,"L-all times"
991107,216198,"E,M","5 Avenue / 53 Street","01","",276,"E-all times, M-weekdays and evenings"
986006,158583,"D","Bay Parkway","34","",68,"D-all times"
1039400,195121,"E,J,Z","Parsons / Archer / Jamaica Center","20","",278,"E,J-all times, Z-rush hours AM westbound, PM eastbound"
1011487,174885,"L","Canarsie/ Rockaway Parkway","33","",138,"L-all times"
1034987,195414,"E,J,Z","Jamaica / Van Wyck","20","",280,"E-all times"
980355,174293,"N,R","53 Street","34","",34,"N-nights, R-all times, skips nights northbound"
998216,210387,"G","21 Street","20","",282,"G-all times"
996004,185117,"S","Park Place","32","",141,"S Franklin Av-Fulton St to Prospect Park-all times"
997781,203228,"G","Nassau Avenue","30","C",284,"G-all times"
988759,153807,"D","Bay 50 Street","34","",70,"D-all times"
998026,196541,"G","Broadway","30","C",286,"G-all times"
1006404,255550,"A","Inwood / 207 Street","03","",143,"A-all times"
998374,192349,"G","Myrtle / Willoughby Avenues","30","C",288,"G-all times"
988624,216093,"N,Q,R,W","49 Street","01","",10,"N-all times, Q-all times exc weekends, R-all times exc nights, W part time"
995346,190260,"G","Classon Avenue","30","C",290,"G-all times"
1002457,252249,"A","190 Street","03","",145,"A-all times"
991079,189613,"G","Fulton Street","30","C",292,"G-all times"
982765,169307,"N","Fort Hamilton Parkway","34","",72,"N-all times"
1011661,261601,"1","238 Street","03","",294,"1-all times, exit only northbound"
1000932,248011,"A","175 Street","03","",147,"A-all times"
1009187,257917,"1","Marble Hill / 225 Street","03","",296,"1-all times"
977762,170613,"R","Bay Ridge Avenue","34","",36,"R-all times"
1006704,254290,"1","207 Street","03","",298,"1-all times"
1000435,241863,"A,C","155 Street","03","",150,"A-nights, C-all other times"
1003777,250867,"1","191 Street","03","",300,"1-all times"
986900,165410,"N","18 Avenue","34","",74,"N-all times"
1000815,245520,"1","168 Street / Washington Heights","03","",302,"1-all times"
998772,237267,"A,B,C","135 Street","03","",152,"A-nights, B-weekdays and evenings, C-all times exc nights"
997988,240416,"1","145 Street","03","",304,"1-all times"
983744,201397,"R,W","Canal Street","02","",18,"N-nights, R-all other times"
995773,236418,"1","125 Street","03","",306,"1-all times"
996764,232585,"A,B,C","116 Street","03","",154,"A-nights, B-weekdays and evenings, C-all times exc nights"
993428,232186,"1","110 Street / Cathedral Parkway","03","",308,"1-all times"
989309,162047,"N","Bay Parkway","34","",76,"N-all times"
991913,228524,"1,2,3","96 Street","03","",310,"1,2,3-all times"
994946,229306,"A,B,C","103 Street","03","",156,"A-nights, B-weekdays and evenings, C-all times exc nights"
989812,224886,"1","79 Street","01","",312,"1-all times, 2-nights"
976367,166139,"R","86 Street","34","",38,"R-all times"
989178,221062,"1","66 Street / Lincoln Center","01","",314,"1-all times, 2-nights"
992882,225575,"A,B,C","86 Street","01","",158,"A-nights, B-weekdays and evenings, C-all times exc nights"
988724,216795,"1","50 Street","01","",316,"1-all times, 2-nights"
990059,156866,"N","Avenue U","34","",78,"N-all times"
986728,212658,"1,2,3","34 Street / Penn Station","02","",318,"1,2,3-all times"
990804,221820,"A,B,C","72 Street","01","",160,"A-nights, B-weekdays and evenings, C-all times exc nights"
985453,210365,"1","23 Street","02","",320,"1-all times, 2-nights"
1006937,219833,"N,W","Astoria Boulevard","20","",2,"N-all times, W part time"
984194,208087,"1,2,3","14 Street","02","",322,"1,2-all times, 3-all times exc nights"
988133,217060,"A,C,E","50 Street","01","",162,"A-nights, C-all other times, E-all times"
982762,204598,"1","Houston Street","02","",324,"1-all times, 2-nights"
1031845,194528,"J,Z","121 Street","20","",80,"Z-rush hours AM westbound, PM eastbound, J-all other times"
982341,201344,"1","Franklin Street","02","",326,"1-all times, 2-nights"
986081,213355,"A,C,E","34 Street / Penn Station","02","",164,"A,E-all times, C-all times exc nights"
980871,198617,"1","Cortlandt Street","02","",328,"Temporarily closed"
990689,188655,"B,Q","Atlantic Avenue / Barclays Center","32","",40,"B-weekdays and evenings, Q-all times"
980599,194936,"1","South Ferry","02","",330,"1-all times"
983782,209204,"A,C,E","14 Street","02","",166,"A,E-all times, C-all times exc nights"
982428,197736,"2,3","Fulton Street","02","",332,"2-all times, 3-all times exc nights"
1027388,192582,"J","104 Street","20","",82,"Z-rush hours AM westbound, PM eastbound, J-all other times"
