STATE,LAT,LNG,NAME,TF,TC,AREA,QUAD
UT,38.633,-112.107,MONROE (COOPER) HOT SPRINGS,169,76,RICHFIELD,MONROE 15
UT,38.613,-112.202,JOSEPH HOT SPRINGS,147,64,RICHFIELD,MONROE 15
UT,39.906,-113.43,WILSON HEALTH SPRINGS,142,61,DELTA,FISH SPRINGS NW 7.5
UT,41.138,-112.175,HOOPER HOT SPRINGS,140,60,BRIGHAM CITY,OGDEN BAY 7.5
UT,41.338,-112.031,UTAH HOT SPRINGS,138,59,BRIGHAM CITY,PLAIN CITY 7.5
UT,41.236,-111.924,OGDEN HOT SPRING,135,57,OGDEN,OGDEN 7.5
UT,40.815,-111.918,BECKS HOT SPRING,133,56,SALT LAKE CITY,SALT LAKE CITY NORTH 7.5
UT,38.503,-112.849,ROOSEVELT HOT SPRINGS,133,56,RICHFIELD,(PINNACLE PASS 7.5)
UT,41.659,-112.087,CRYSTAL (MADSENS) HOT SPRINGS,129,54,BRIGHAM CITY,HONEYVILLE 7.5
UT,41.855,-112.158,UDY HOT SPRINGS,124,51,BRIGHAM CITY,RIVERSIDE 7.5
UT,41.578,-112.23,STINKING HOT SPRINGS,118,48,BRIGHAM CITY,BEAR RIVER CITY 7.5
UT,40.517,-111.475,MIDWAY HOT SPRING,115,46,SALT LAKE CITY,HEBER CITY 7.5
UT,40.536,-111.478,WARM DITCH SPRING,115,46,SALT LAKE CITY,HEBER CITY 7.5
UT,40.35,-111.905,SARATOGA HOT SPRINGS,111,44,SALT LAKE CITY,SARATOGA SPRINGS 7.5
UT,40.353,-111.895,CRATER HOT SPRING,111,44,SALT LAKE CITY,(SARATOGA SPRINGS 7.5)
UT,41.901,-112.999,COYOTE SPRING,109,43,BRIGHAM CITY,MONUMENT PEAK NW 7.5
UT,41.687,-113.986,SPRING (HOT),108,42,BRIGHAM CITY,GROUSE CREEK 7.5
UT,41.582,-112.256,LITTLE MOUNTAIN HOT SPRING,108,42,BRIGHAM CITY,PUBLIC SHOOTING GROUNDS 7.5
UT,40.788,-111.899,WASATCH HOT SPRINGS,108,42,SALT LAKE CITY,SALT LAKE CITY NORTH 7.5
UT,37.189,-113.272,DIXIE (LAVERKIN) HOT SPRINGS,108,42,CEDAR CITY,HURRICANE 15
UT,38.864,-112.506,MEADOW HOT SPRINGS,106,41,RICHFIELD,TABERNACLE HILL 15
UT,40.525,-111.468,MIDWAY HOT SPRINGS,104,40,SALT LAKE CITY,HEBER CITY 7.5
UT,40.038,-111.529,CASTILLA SPRINGS,104,40,SALT LAKE CITY,SPANISH FORK PEAK 7.5
UT,40.526,-111.488,MIDWAY HOT SPRINGS,100,38,SALT LAKE CITY,HEBER CITY 7.5
UT,38.85,-112.49,HATTON HOT SPRING,100,38,RICHFIELD,FILLMORE 15
UT,38.186,-112.912,US BLM,91,33,RICHFIELD,(MINERSVILLE 7.5)
UT,38.217,-112.904,DOTSONS (RADIUM) WARM SPRING,91,33,RICHFIELD,MINERSVILLE 7.5
UT,37.942,-112.438,LEFEVRE,90,32,CEDAR CITY,(PANGUITCH NW 7.5)
UT,40.146,-111.806,LINCOLN POINT WARM SPRINGS,90,32,SALT LAKE CITY,(LINCOLN POINT 7.5)
UT,40.332,-111.891,FAULT ZONE SPRING,90,32,SALT LAKE CITY,(SARATOGA SPRINGS 7.5)
UT,37.335,-113.687,VEYO HOT SPRING,90,32,CEDAR CITY,VEYO 7.5
UT,41.917,-111.958,GANCHEFF SPRING,88,31,OGDEN,TRENTON 7.5
UT,40.465,-109.221,SPLIT MOUNTAIN WARM SPRINGS,86,30,VERNAL,SPLIT MOUNTAIN 7.5
UT,40.176,-111.801,BIRD ISLAND,86,30,SALT LAKE CITY,(LINCOLN POINT 7.5)
UT,40.502,-114.038,BLUE LAKE SPRING,84,29,ELKO,WENDOVER SE 7.5
UT,40.788,-112.017,HOBO WARM SPRING,84,29,TOOELE,SALTAIR 7.5
UT,41.833,-112.454,BLUE CREEK SPRING,82,28,BRIGHAM CITY,HOWELL 7.5
UT,39.887,-113.413,NORTH SPRINGS,82,28,DELTA,FISH SPRINGS NW 7.5
UT,39.842,-113.392,FISH SPRINGS,82,28,DELTA,FISH SPRINGS SW 7.5
UT,39.35,-113.515,TULE SPRING,82,28,DELTA,COWBOY PASS 15
UT,39.424,-113.485,COYOTE SPRING,82,28,DELTA,SWASEY PEAK NW 7.5
UT,41.756,-113.603,WARM SPRING,81,27,BRIGHAM CITY,YOST 15
UT,41.038,-111.656,COMO SPRINGS,81,27,OGDEN,MORGAN 7.5
UT,39.464,-114.038,GANDY WARM SPRINGS,81,27,ELY,
UT,39.305,-113.491,,81,27,DELTA,(SWASEY PEAK SW 7.5)
UT,40.397,-112.421,MORGANS WARM SPRING,80,27,TOOELE,STOCKTON 15
UT,40.447,-110.828,WARM SPRINGS,79,26,SALT LAKE CITY,HANNA 7.5
UT,37.7,-110.421,WARM SPRING,79,26,ESCALANTE,(MANCOS MESA 15)
UT,40.234,-111.865,WARM SPRINGS,77,25,SALT LAKE CITY,(LINCOLN POINT 7.5)
UT,39.388,-113.504,,77,25,DELTA,(COWBOY PASS 15)
UT,39.334,-113.518,SOUTH TULE SPRING,77,25,DELTA,COWBOY PASS 15
UT,41.336,-112.406,,77,25,BRIGHAM CITY,POKES POINT 7.5
UT,41.822,-113.263,L.G. CARTER SPRINGS,77,25,BRIGHAM CITY,PARK VALLEY 15
UT,40.647,-112.524,GRANTSVILLE WARM SPRINGS,77,25,TOOELE,TIMPIE 15
UT,38.603,-112.111,JOHNSON WARM SPRING,77,25,RICHFIELD,MONROE 15
UT,40.228,-111.867,WARM SPRINGS,75,24,SALT LAKE CITY,(LINCOLN POINT 7.5)
UT,37.166,-113.383,BERRY SPRINGS,75,24,CEDAR CITY,HURRICANE 15
UT,37.137,-113.513,WARM SPRING,75,24,CEDAR CITY,(ST. GEORGE 15)
UT,40.733,-112.621,UTAH FISH AND GAME DEPT,75,24,TOOELE,(TIMPIE 15)
UT,40.538,-112.747,DESERET LIVESTOCK,75,24,TOOELE,(TIMPIE 15)
UT,41.722,-112.266,BOTHWELL WARM SPRINGS,75,24,BRIGHAM CITY,(THATCHER MOUNTAIN 7.5)
UT,37.138,-113.528,GREEN SPRING,75,24,CEDAR CITY,ST. GEORGE 15
UT,40.565,-112.738,DESERET LIVESTOCK SOUTH SPRINGS,73,23,TOOELE,TIMPIE 15
UT,39.616,-112.803,FUMAROLE BUTTE,73,23,DELTA,FUMAROLE BUTTE 7.5
UT,38.774,-112.096,RICHFIELD WARM SPRINGS,73,23,RICHFIELD,(RICHFIELD 15)
UT,39.955,-111.858,GOSHEN WARM SRINGS,73,23,PRICE,SANTAQUIN 15
UT,39.246,-111.645,LIVINGSTON WARM SPRINGS,73,23,PRICE,(STERLING 7.5)
UT,40.545,-111.928,EAST JORDAN CANAL,73,23,SALT LAKE CITY,(MIDVALE 7.5)
UT,40.614,-112.709,HORSESHOE SPRINGS,73,23,TOOELE,TIMPIE 15
UT,41.834,-112.054,CUTLER WARM SPRING,73,23,BRIGHAM CITY,(CUTLER DAM 7.5)
UT,41.831,-113.391,PUGSLEY,73,23,BRIGHAM CITY,PARK VALLEY 15
UT,40.167,-111.622,WOOD SPRINGS,73,23,SALT LAKE CITY,(SPRINGVILLE 7.5)
UT,39.899,-112.045,SPRINGS,72,22,DELTA,EUREKA 7.5
UT,39.183,-111.691,STERLING (PEACOCK) WARM SPRING,72,22,PRICE,STERLING 7.5
UT,38.981,-111.829,SALT SPRING,72,22,SALINA,(SALINA 7.5)
UT,38.869,-112.484,,72,22,RICHFIELD,(FILLMORE 15)
UT,38.56,-112.578,SULPHURDALE,72,22,RICHFIELD,COVE FORT 15
UT,38.34,-113.22,WOODHOUSE SPRING,72,22,RICHFIELD,MILFORD 15
UT,37.174,-112.535,RED CANYON,72,22,CEDAR CITY,(KANAB 15)
UT,40.625,-112.703,,72,22,TOOELE,(TIMPIE 15)
UT,40.558,-112.739,DESERET LIVESTOCK SOUTH SPRING,72,22,TOOELE,TIMPIE 15
UT,40.39,-112.424,RUSSELLS WARM SPRINGS,72,22,TOOELE,STOCKTON 15
UT,41.643,-112.281,SPRINGS,72,22,BRIGHAM CITY,THATCHER MOUNTAIN 7.5
UT,41.449,-112.442,POULSEN SPRING (SALT),72,22,BRIGHAM CITY,EAST PROMONTORY 7.5
UT,41.239,-112.413,COMPTON SPRING,72,22,BRIGHAM CITY,PROMONTORY POINT 7.5
UT,38.155,-112.901,WILLOW SPRING,72,22,RICHFIELD,MINERSVILLE 7.5
UT,40.743,-112.642,BIG WARM SPRINGS,72,22,TOOELE,TIMPIE 15
UT,37.096,-113.447,WARNER VALLEY SPRING,70,21,CEDAR CITY,HURRICANE 15
UT,37.393,-113.61,IRVINE SPRING,70,21,CEDAR CITY,CENTRAL EAST 7.5
UT,37.158,-113.399,VIRGIN RIVER SPRING,70,21,CEDAR CITY,HURRICANE 15
UT,38.138,-112.863,BIG MAPLE SPRING,70,21,RICHFIELD,MINERSVILLE 15
UT,40.697,-111.493,,70,21,SALT LAKE CITY,PARK CITY EAST 7.5
UT,40.653,-112.907,REDLUM SPRING,70,21,TOOELE,
UT,41.829,-113.654,HEAD SPRING,70,21,BRIGHAM CITY,YOST 15
UT,41.818,-113.311,LARSON SPRINGS,70,21,BRIGHAM CITY,PARK VALLEY 15
UT,41.808,-113.327,W.R. CARTER SPRINGS,70,21,BRIGHAM CITY,PARK VALLEY 15
UT,40.458,-111.929,CAMP WILLIAMS,70,21,SALT LAKE CITY,(JORDAN NARROWS 7.5)
UT,37.178,-113.634,SNOW SPRING,70,21,CEDAR CITY,ST. GEORGE 15
UT,41.328,-111.826,PATIO SPRINGS,68,20,OGDEN,HUNTSVILLE 7.5
UT,38.77,-112.871,COYOTE SPRING,68,20,RICHFIELD,CRUZ 7.5
UT,38.762,-112.87,SPRINGS,68,20,RICHFIELD,CRUZ 7.5
UT,39.788,-111.881,RAY LUNT SPRING,68,20,PRICE,SANTAQUIN 15
UT,39.429,-113.881,,68,20,DELTA,(GANDY 15)
UT,39.403,-113.863,TWIN SPRINGS,68,20,DELTA,GANDY 15
UT,39.249,-113.877,KNOLL SPRINGS,68,20,DELTA,CONGER RANGE 15
UT,40.118,-111.337,DIAMOND FORK WARM SPRINGS,68,20,SALT LAKE CITY,RAYS VALLEY 7.5
UT,40.172,-112.426,DAVIS,68,20,TOOELE,(FAUST 7.5)
UT,41.614,-113.613,WARM SPRING,68,20,BRIGHAM CITY,PROHIBITION SPRING 7.5
UT,41.563,-113.954,KIMBER (ROSE) SPRING,68,20,BRIGHAM CITY,TOMS CABIN SPRING 7.5
UT,37.937,-112.424,TEBBS,68,20,CEDAR CITY,PANGUITCH NW 7.5
UT,40.703,-112.579,,68,20,TOOELE,(TIMPIE 15)
